KEY_DATA;DayNum
2019|09|27;4
2019|09|26;3
2019|09|25;2
2019|09|24;1
2019|09|23;0
2019|09|22;6
2019|09|21;5
2019|09|20;4
2019|09|19;3
2019|09|18;2
2019|09|17;1
2019|09|16;0
2019|09|15;6
2019|09|14;5
2019|09|13;4
2019|09|12;3
2019|09|11;2
2019|09|10;1
2019|09|09;0
2019|09|08;6
2019|09|07;5
2019|09|06;4
2019|09|05;3
2019|09|04;2
2019|09|03;1
2019|09|02;0
2019|09|01;6
2019|08|31;5
2019|08|30;4
2019|08|29;3
2019|08|28;2
2019|08|27;1
2019|08|26;0
2019|08|25;6
2019|08|24;5
2019|08|23;4
2019|08|22;3
2019|08|21;2
2019|08|20;1
2019|08|19;0
2019|08|18;6
2019|08|17;5
2019|08|16;4
2019|08|15;3
2019|08|14;2
2019|08|13;1
2019|08|12;0
2019|08|11;6
2019|08|10;5
2019|08|09;4
2019|08|08;3
2019|08|07;2
2019|08|06;1
2019|08|05;0
2019|08|04;6
2019|08|03;5
2019|08|02;4
2019|08|01;3
2019|07|31;2
